station_1,station_2,distance_meters
Rockaway Av,Broadway Junction,559.0958571084418
Broadway Junction,Liberty Av,851.7533426680294
Liberty Av,Van Siclen Av,1177.047334112504
Van Siclen Av,Shepherd Av,1018.7542805395732
Shepherd Av,Euclid Av,741.7102275679713
Norwood-205 St,Bedford Park Blvd,718.418451418323
Bedford Park Blvd,Kingsbridge Rd,1040.7942145659642
Fordham Rd,182-183 Sts,630.9330138274985
182-183 Sts,Tremont Av,736.2572997977009
Tremont Av,174-175 Sts,649.1237654536453
174-175 Sts,170 St,913.5526061388372
161 St-Yankee Stadium,155 St,1363.5601569612825
59 St-Columbus Circle,7 Av,604.0683830289344
7 Av,47-50 Sts-Rockefeller Ctr,9106.314795332213
47-50 Sts-Rockefeller Ctr,42 St-Bryant Pk,1134.9669030056284
42 St-Bryant Pk,34 St-Herald Sq,0.0
34 St-Herald Sq,W 4 St-Washington Sq,2208.0099806948824
W 4 St-Washington Sq,Broadway-Lafayette St,867.2249658724747
Broadway-Lafayette St,Grand St,853.869551642177
Grand St,Atlantic Av-Barclays Ctr,4373.206288581804
Atlantic Av-Barclays Ctr,36 St,3913.8227321682607
36 St,9 Av,12991.82489028746
9 Av,Fort Hamilton Pkwy,598.1198907637471
Fort Hamilton Pkwy,50 St,14606.048966958799
50 St,55 St,14590.714911729845
55 St,62 St,2722.9121369024274
62 St,71 St,3973.1821231391564
71 St,79 St,18344.055602513028
79 St,18 Av,624.5700205974246
18 Av,20 Av,1907.378104942283
20 Av,Bay Pkwy,1877.3797984693645
Bay Pkwy,25 Av,1624.311336276605
25 Av,Bay-50 St,4339.338188753409
Bay-50 St,Coney Island-Stillwell Av,6641.765834572177
Jamaica Center–Parsons/Archer,Sutphin Blvd–Archer Av–JFK Airport,607.2046533258441
Sutphin Blvd–Archer Av–JFK Airport,Jamaica–Van Wyck,784.2613557269253
Jamaica–Van Wyck,Briarwood,799.3764599906392
Briarwood,Kew Gardens–Union Tpke,1056.5939653386397
Kew Gardens–Union Tpke,75 Av,685.8966820241277
75 Av,Forest Hills–71 Av,712.1515918408694
Forest Hills–71 Av,Jackson Hts–Roosevelt Av,0.0
Jackson Hts–Roosevelt Av,Queens Plaza,10407.89440409521
Queens Plaza,Court Sq–23 St,569.1553810332678
Court Sq–23 St,Lexington Av/53 St,2383.2876782184862
Lexington Av/53 St,5 Av/53 St,595.752518093997
5 Av/53 St,7 Av,617.2759346075336
7 Av,50 St,9465.118094402134
50 St,42 St–Port Authority Bus Terminal,1290.9618510345176
42 St–Port Authority Bus Terminal,34 St–Penn Station,289.67510752144756
34 St–Penn Station,23 St,932.7228693363562
14 St,W 4 St–Washington Sq,956.6877313453698
W 4 St–Washington Sq,Spring St,1151.44260809302
Canal St,World Trade Center,16865.64899545149
Court Sq,21 St,650.3557609876029
21 St,Greenpoint Av,1468.3994601464701
Greenpoint Av,Nassau Av,793.330813842971
Nassau Av,Metropolitan Av,793.330813842971
Metropolitan Av,Broadway,2830.4818085750962
Broadway,Flushing Av,7142.293116077299
Flushing Av,Myrtle–Willoughby Avs,919.6001545534975
Myrtle–Willoughby Avs,Bedford–Nostrand Avs,666.6333218854892
Bedford–Nostrand Avs,Classon Av,558.6366790440247
Classon Av,Clinton–Washington Avs,577.4665964387981
Clinton–Washington Avs,Fulton St,4166.3863747652285
Fulton St,Hoyt–Schermerhorn,3038.190766617924
