station_complex_id,station_complex,latitude,longitude,traffic_00,traffic_01,traffic_02,traffic_03,traffic_04,traffic_05,traffic_06,traffic_07,traffic_08,traffic_09,traffic_10,traffic_11,traffic_12,traffic_13,traffic_14,traffic_15,traffic_16,traffic_17,traffic_18,traffic_19,traffic_20,traffic_21,traffic_22,traffic_23
28,Union St (R),40.677315,-73.98311,7.757162346521146,5.1593886462882095,3.22962962962963,2.863501483679525,2.57172131147541,5.174432497013142,12.84919028340081,37.803603603603605,63.35481099656357,38.32054560954817,26.345987920621226,25.208614864864863,26.52901023890785,25.650767987065482,30.630615640599,42.939597315436245,42.140625,46.83059210526316,40.63911620294599,28.432246998284736,22.59016393442623,19.94713656387665,17.616883116883116,11.686070686070686
83,"Woodhaven Blvd (J,Z)",40.69388,-73.85158,2.402321083172147,2.2570093457943927,1.8519362186788155,2.9559322033898305,8.219094247246023,19.104058272632674,27.158102766798418,42.34174932371506,38.23792160437557,21.25886524822695,15.587272727272728,13.776351970669111,14.671361502347418,16.40297121634169,19.658492279745687,18.937215650591448,19.04087452471483,18.595192307692308,14.163704396632367,10.753753753753754,9.126315789473685,7.3560042507970245,6.11225658648339,3.873684210526316
256,Parsons Blvd (F),40.707565,-73.80333,3.4192200557103063,2.546021840873635,2.561525129982669,3.4938941655359566,8.859980139026812,20.95093062605753,36.0703642384106,53.66001662510391,44.280944625407166,29.251005631536604,22.54269752593775,21.03223140495868,22.490550534100247,27.175686927560367,36.874188311688314,27.123333333333335,22.404358353510897,21.159636062861868,15.609467455621301,11.926186291739894,9.92962962962963,8.105113636363637,5.97737556561086,4.011655011655011
295,231 St (1),40.878857,-73.90483,2.5486443381180224,1.8263888888888888,1.4962593516209477,2.2596153846153846,6.686878727634195,18.676882661996498,35.24175824175824,64.84836065573771,60.394354838709674,33.696296296296296,27.36850783182193,26.07443365695793,27.0871335504886,29.709179528838344,31.35434956105347,35.07253463732681,34.511894995898274,31.508943089430893,23.28266228430567,17.177021276595745,13.131105398457583,9.380590717299578,5.864265927977839,4.383771929824562
64,71 St (D),40.61959,-73.99886,1.858974358974359,1.6057347670250897,1.478021978021978,2.016706443914081,5.5178147268408555,15.200511945392492,28.397600685518423,49.963895885810246,46.09682668836452,29.447411003236247,19.658333333333335,14.99074074074074,14.536073825503356,14.529509559434747,15.92970711297071,14.531786941580757,13.00352422907489,13.128070175438596,10.298387096774194,7.735496558505408,5.824578790882062,4.468017057569297,3.5,2.2220216606498195
103,"Bowery (J,Z)",40.72028,-73.99391,13.396408839779005,10.323529411764707,7.864583333333333,5.609836065573771,3.54292343387471,2.7079037800687287,2.9499217527386543,6.191489361702128,11.007430997876858,9.930555555555555,9.579429735234216,10.452380952380953,12.42150333016175,15.02434456928839,17.987689393939394,23.800956937799043,23.118959107806692,29.18808193668529,26.3844714686623,22.812379110251452,19.41023069207623,19.428417653390742,20.18440463645943,16.824915824915823
217,"170 St (B,D)",40.839306,-73.9134,2.2202797202797204,1.578723404255319,1.7721822541966428,2.4485165794066317,4.7598647125140925,14.257462686567164,25.345890410958905,38.44717444717445,33.609555189456344,20.755085435313262,16.29260182876143,15.216555183946488,16.002454991816695,18.251002405773857,22.86455798864558,26.821929101401484,19.842148760330577,15.283246977547496,11.106988783433994,7.87133984028394,6.157994323557237,5.823176823176823,4.872916666666667,3.133995037220844
135,Livonia Av (L),40.66404,-73.90057,2.4482142857142857,1.772300469483568,1.8624708624708626,2.001934235976789,3.3770992366412216,6.653728294177732,13.745353159851302,22.141093474426807,18.520241171403963,11.74311111111111,7.8173076923076925,7.6715195632393085,8.36395450568679,10.032918149466193,11.163831692032229,13.410434782608696,13.38929219600726,12.835779816513762,10.175276752767529,8.403458213256485,6.805555555555555,5.780595369349504,4.66331096196868,3.6994949494949494
169,"Canal St (A,C,E)",40.720825,-74.005226,19.04150579150579,10.586666666666666,6.475,4.954792043399638,4.159055118110237,4.5298398835516736,10.916207276736493,21.512581547064304,34.05655296229803,30.834355828220858,32.2731914893617,39.13488759367194,47.5949263502455,52.8517017828201,69.31515637530072,89.53208773354996,123.97998398718975,176.05007949125596,142.8647151898734,90.6128514056225,56.06506024096385,44.506350550381036,39.914965986394556,27.679715302491104
58,"Coney Island-Stillwell Av (D,F,N,Q)",40.577423,-73.98123,10.76923076923077,7.838823529411765,6.711843711843712,5.963894967177243,11.262237762237762,23.600486223662884,48.3521568627451,84.86314152410576,73.89096573208722,49.709203402938904,37.38545738858483,38.80733229329173,42.39922480620155,49.68292682926829,55.89408099688473,57.85680751173709,60.3019305019305,56.624124513618675,44.17140661029977,30.68469860896445,27.333068992862806,24.588467614533965,19.42595673876872,13.837979094076655
282,21 St (G),40.744064,-73.94972,3.720873786407767,2.8545454545454545,1.6719576719576719,1.3641618497109826,1.6497005988023952,1.9623893805309736,4.893586005830904,8.332919254658385,8.921757770632368,7.9229024943310655,7.394736842105263,7.79191438763377,8.869710467706014,9.13733905579399,9.713855421686747,14.571976967370441,18.041516245487365,19.475970425138634,16.517140058765914,11.28496319663512,9.087150837988826,7.633410672853828,6.797029702970297,4.616551724137931
355,"Winthrop St (2,5)",40.65665,-73.9502,3.2835595776772246,2.2639296187683287,1.9201030927835052,2.149908592321755,3.9842105263157896,8.645454545454545,22.842391304347824,46.54868755292125,57.969747899159664,36.36454018227009,24.773617021276596,25.06833333333333,25.340677966101694,26.915980230642504,32.20477815699659,37.26206322795341,48.87489779231398,45.219237435008665,26.663256606990622,16.85254691689008,11.937614678899083,8.450148075024678,6.270413573700955,5.102827763496144
126,Jefferson St (L),40.706608,-73.92291,21.393282773564465,21.036890645586297,17.450581395348838,16.269349845201237,11.567786790266512,15.360248447204969,25.450928381962864,44.10983170947741,60.044877222692634,40.91449511400651,32.029411764705884,33.09286328460877,32.72478632478632,38.531223980016655,42.59621993127148,45.60916666666667,47.811496196111584,50.111952861952865,47.09819121447028,39.02506714413608,32.894444444444446,31.952291861552855,36.1177015755329,26.03270564915758
176,Lafayette Av (C),40.68611,-73.973946,7.0139593908629445,3.859154929577465,2.5826446280991737,2.2905405405405403,2.223021582733813,3.729194187582563,6.546448087431694,15.966633954857704,27.939890710382514,25.48175182481752,17.028871391076116,17.99328295549958,19.470588235294116,20.78414839797639,26.7396449704142,31.352793994995828,29.655230125523012,32.947811447811446,30.940568475452196,23.426008968609864,20.371478873239436,18.821691176470587,19.006750241080038,13.376784015223597
13,"28 St (R,W)",40.745495,-73.98869,18.875409836065575,12.83768115942029,7.704778156996587,5.019370460048426,3.2651162790697676,3.5549915397631136,6.769975786924939,17.50242954324587,34.27181818181818,39.302654867256635,35.78503046127067,35.29232111692845,39.163713080168776,44.4063811922754,48.401157981803145,60.114548494983275,73.81825460368295,97.76285240464345,92.99264705882354,63.01254180602007,47.15681233933162,41.51918158567775,38.1900826446281,32.491176470588236
260,"75 Av (E,F)",40.71833,-73.837326,2.2660550458715596,2.121311475409836,2.0185873605947955,1.825503355704698,2.7955465587044532,5.963513513513513,13.88241308793456,26.17860465116279,33.75434027777778,19.27986348122867,13.772251308900524,11.880847308031774,11.697207678883071,11.257722859664607,10.80541012216405,12.108202443280977,12.780381944444445,14.334829443447038,10.48826714801444,6.8505859375,5.52620320855615,4.791621911922664,4.194097616345062,3.1099476439790577
269,"Northern Blvd (M,R)",40.752884,-73.906006,2.5634782608695654,1.8688524590163935,2.1850961538461537,3.186217008797654,5.55860349127182,19.585096596136154,33.17102966841187,53.03621399176955,58.744354838709675,34.43816543816544,25.474166666666665,19.994176372712147,19.49660441426146,20.34678747940692,26.032046014790467,28.465346534653467,26.40767973856209,25.90276613579212,18.900769888793842,11.772767462422635,8.392988929889299,6.330357142857143,5.020898641588297,4.01358024691358
